name,description,unit
clim_var1,Climate variable 1,dummy unit
clim_var2,Climate variable 2,dummy unit
clim_var3,Climate variable 3,dummy unit
clim_var4,Climate variable 4,dummy unit
clim_var5,Climate variable 5,dummy unit
clim_var6,Climate variable 6,dummy unit
clim_var7,Climate variable 7,dummy unit
clim_var8,Climate variable 8,dummy unit
clim_var9,Climate variable 9,dummy unit
clim_var10,Climate variable 10,dummy unit
clim_var11,Climate variable 11,dummy unit
clim_var12,Climate variable 12,dummy unit
clim_var13,Climate variable 13,dummy unit
clim_var14,Climate variable 14,dummy unit
clim_var15,Climate variable 15,dummy unit
clim_var16,Climate variable 16,dummy unit
clim_var17,Climate variable 17,dummy unit
clim_var18,Climate variable 18,dummy unit
clim_var19,Climate variable 19,dummy unit
clim_var20,Climate variable 20,dummy unit
clim_var21,Climate variable 21,dummy unit
clim_var22,Climate variable 22,dummy unit
clim_var23,Climate variable 23,dummy unit
clim_var24,Climate variable 24,dummy unit
clim_var25,Climate variable 25,dummy unit
clim_var26,Climate variable 26,dummy unit
clim_var27,Climate variable 27,dummy unit
clim_var28,Climate variable 28,dummy unit
clim_var29,Climate variable 29,dummy unit
clim_var30,Climate variable 30,dummy unit
clim_var31,Climate variable 31,dummy unit
clim_var32,Climate variable 32,dummy unit
clim_var33,Climate variable 33,dummy unit
clim_var34,Climate variable 34,dummy unit
clim_var35,Climate variable 35,dummy unit
clim_var36,Climate variable 36,dummy unit
clim_var37,Climate variable 37,dummy unit
clim_var38,Climate variable 38,dummy unit
clim_var39,Climate variable 39,dummy unit
clim_var40,Climate variable 40,dummy unit
clim_var41,Climate variable 41,dummy unit
clim_var42,Climate variable 42,dummy unit
clim_var43,Climate variable 43,dummy unit
clim_var44,Climate variable 44,dummy unit
clim_var45,Climate variable 45,dummy unit
clim_var46,Climate variable 46,dummy unit
clim_var47,Climate variable 47,dummy unit
clim_var48,Climate variable 48,dummy unit
clim_var49,Climate variable 49,dummy unit
clim_var50,Climate variable 50,dummy unit
