"Variables","VIF"
"clim_var48_mean_19007_20240102",3.97976668719306
"clim_var1_median_19007_20240102",3.58001075062998
"clim_var2_median_19007_20240102",3.52947519990186
"clim_var3_median_19007_20240102",3.87871360679344
"clim_var4_median_19007_20240102",3.19387066397805
"clim_var5_median_19007_20240102",3.66994772974817
"clim_var6_median_19007_20240102",3.86568172738068
"clim_var7_median_19007_20240102",3.05157536971563
"clim_var8_median_19007_20240102",3.65225676290439
"clim_var9_median_19007_20240102",3.34084842424323
"clim_var10_median_19007_20240102",3.80722213083562
"clim_var11_median_19007_20240102",4.67862308885189
"clim_var12_median_19007_20240102",3.14678749135748
"clim_var13_median_19007_20240102",3.03489664428843
"clim_var14_median_19007_20240102",2.8684931196874
"clim_var15_median_19007_20240102",3.52027620545852
"clim_var16_median_19007_20240102",3.01296709451926
"clim_var17_median_19007_20240102",4.19732314327304
"clim_var18_median_19007_20240102",3.25968906795617
"clim_var19_median_19007_20240102",3.53301889813748
"clim_var20_median_19007_20240102",3.60317010227762
"clim_var21_median_19007_20240102",4.04917394946608
"clim_var22_median_19007_20240102",3.39560193801233
"clim_var23_median_19007_20240102",3.18026455428539
"clim_var24_median_19007_20240102",3.28951009578961
"clim_var25_median_19007_20240102",3.50053305155194
"clim_var26_median_19007_20240102",3.36172198583904
"clim_var27_median_19007_20240102",3.2773416647652
"clim_var28_median_19007_20240102",3.55413361823216
"clim_var29_median_19007_20240102",3.58538565804119
"clim_var30_median_19007_20240102",3.05269130875985
"clim_var31_median_19007_20240102",2.91269596382526
"clim_var32_median_19007_20240102",3.242554611043
"clim_var33_median_19007_20240102",3.64422288629301
"clim_var34_median_19007_20240102",3.35439771087845
"clim_var35_median_19007_20240102",3.59332310581615
"clim_var36_median_19007_20240102",3.75467074861612
"clim_var37_median_19007_20240102",3.2941665804519
"clim_var38_median_19007_20240102",3.70016153981878
"clim_var39_median_19007_20240102",3.77791544807647
"clim_var40_median_19007_20240102",3.09086862385819
"clim_var41_median_19007_20240102",4.24867944650705
"clim_var42_median_19007_20240102",3.63814674541313
"clim_var43_median_19007_20240102",4.19449683149479
"clim_var44_median_19007_20240102",3.57349424215242
"clim_var45_median_19007_20240102",3.56660319293966
"clim_var46_median_19007_20240102",4.06944595346007
"clim_var47_median_19007_20240102",3.48606353030031
"clim_var49_median_19007_20240102",4.03993105309545
"clim_var50_median_19007_20240102",3.33734746775853
"clim_var1_mad_19007_20240102",3.60425051348155
