"EP_Plotid","Genus1","Genus2","Genus3"
"AEG1",2380,1929,1530
"AEG10",2216,1365,867
"AEG11",2437,2357,1117
"AEG12",3977,3286,1366
"AEG13",3408,1917,1981
"AEG14",3156,1775,1130
"AEG15",2591,2313,1090
"AEG16",4038,2430,954
"AEG17",3967,2558,1515
"AEG18",3345,1652,574
"AEG19",3063,2072,1759
"AEG2",2441,2345,1312
"AEG20",2884,2125,710
"AEG21",3876,2002,1043
"AEG22",4416,2580,846
"AEG23",2819,2265,1663
"AEG24",3140,2538,664
"AEG25",4954,2762,1396
"AEG26",2651,3015,935
"AEG27",3455,2076,825
"AEG28",2469,1919,1309
"AEG29",1687,2642,1248
"AEG3",2923,2553,1376
"AEG30",3444,2100,1487
"AEG31",3359,2040,1239
"AEG32",3863,3482,967
"AEG33",3831,1833,1513
"AEG34",3205,1998,1123
"AEG35",4360,1807,1180
"AEG36",3532,3209,1630
"AEG37",3987,1632,866
"AEG38",2755,2656,1507
"AEG39",2238,1738,1084
"AEG4",3094,1629,1641
"AEG40",3081,2345,1081
"AEG41",3426,2355,667
"AEG42",2518,3092,1051
"AEG43",3311,1939,1155
"AEG44",4284,1101,1441
"AEG45",3330,1648,955
"AEG46",2410,1928,1216
"AEG47",3887,3388,1169
"AEG48",3236,2581,1195
"AEG49",4031,2496,1380
"AEG5",2996,2335,1291
"AEG50",5250,2948,1056
"AEG6",3463,2009,758
"AEG7",3578,2454,977
"AEG8",3719,2601,561
"AEG9",4907,1917,1387
"AEW1",3351,2813,904
"AEW10",3406,2097,1643
"AEW11",3124,1814,928
"AEW12",3444,2149,1472
"AEW13",4654,2434,1199
"AEW14",3380,2207,681
"AEW15",3909,2864,1007
"AEW16",2896,1643,1338
"AEW17",3352,2167,1542
"AEW18",4266,1604,1171
"AEW19",2975,1849,481
"AEW2",3578,2094,1187
"AEW20",3270,1633,1079
"AEW21",3154,2906,1873
"AEW22",3132,2494,671
"AEW23",3556,2397,966
"AEW24",2615,2047,1568
"AEW25",4140,2300,577
"AEW26",2470,2752,1278
"AEW27",2928,2002,720
"AEW28",2966,2994,1279
"AEW29",4411,2087,927
"AEW3",4992,1709,1062
"AEW30",3673,2612,1412
"AEW31",2962,2575,1694
"AEW32",2964,2537,1753
"AEW33",3197,2046,479
"AEW34",3627,1992,485
"AEW35",3675,1668,489
"AEW36",3610,1610,1320
"AEW37",2808,2618,865
"AEW38",1914,1857,823
"AEW39",3974,2468,1041
"AEW4",3925,2662,1245
"AEW40",3003,1780,1646
"AEW41",2550,2101,1712
"AEW42",3399,1670,929
"AEW43",2352,2545,1275
"AEW44",2624,2796,1291
"AEW45",3990,2827,1249
"AEW46",3592,2768,1027
"AEW47",3470,3023,1025
"AEW48",3411,2183,476
"AEW49",3216,2344,1597
"AEW5",2276,1591,1464
"AEW50",3438,1332,402
"AEW6",4548,2091,927
"AEW7",2183,2576,1819
"AEW8",2878,2090,1363
"AEW9",3295,2917,613
"HEG1",4017,2668,784
"HEG10",1822,2125,1010
"HEG11",3895,2048,1021
"HEG12",3040,3154,824
"HEG13",3506,1109,1327
"HEG14",2710,1691,1121
"HEG15",3629,2607,1645
"HEG16",3169,1886,714
"HEG17",2712,2367,516
"HEG18",3090,1741,1427
"HEG19",2344,2356,556
"HEG2",3824,2129,1063
"HEG20",2964,2728,1658
"HEG21",3136,3032,1510
"HEG22",4102,2021,952
"HEG23",3183,2218,1107
"HEG24",2753,1908,1429
"HEG25",3062,1823,1873
"HEG26",3715,2071,376
"HEG27",3280,2091,746
"HEG28",3034,1926,504
"HEG29",4313,1948,246
"HEG3",3615,2559,1056
"HEG30",4066,2239,597
"HEG31",2809,2155,972
"HEG32",4062,2478,849
"HEG33",3466,1308,783
"HEG34",3199,2407,1152
"HEG35",2401,2002,1602
"HEG36",3180,2349,1255
"HEG37",3580,3459,760
"HEG38",4572,2023,810
"HEG39",3433,2373,644
"HEG4",3047,1290,859
"HEG40",3833,1914,1049
"HEG41",3199,1949,1304
"HEG42",3799,1534,1582
"HEG43",3502,2418,1376
"HEG44",3867,2100,786
"HEG45",3127,2346,1331
"HEG46",1965,1509,1146
"HEG47",4062,2168,771
"HEG48",3187,2210,797
"HEG49",3681,3020,678
"HEG5",3431,2348,361
"HEG50",2568,1869,1260
"HEG6",2980,1498,1021
"HEG7",3524,1928,706
"HEG8",2032,2522,267
"HEG9",2743,1943,1449
"HEW1",3744,1677,1259
"HEW10",1354,3237,807
"HEW11",4009,1886,1195
"HEW12",2857,1569,1905
"HEW13",4759,1623,1665
"HEW14",3810,1004,1120
"HEW15",3253,2877,1112
"HEW16",3456,1864,1426
"HEW17",3185,1298,1182
"HEW18",4443,2598,1533
"HEW19",4179,1965,1108
"HEW2",4009,2492,1147
"HEW20",3564,1684,1183
"HEW21",2861,1336,1338
"HEW22",1606,2492,1743
"HEW23",2772,1967,1087
"HEW24",3611,1529,580
"HEW25",3438,1508,1053
"HEW26",2396,2373,658
"HEW27",3150,2237,1514
"HEW28",2898,2170,537
"HEW29",3086,1417,1122
"HEW3",2484,2462,1176
"HEW30",3746,2411,1063
"HEW31",3293,1262,1062
"HEW32",3033,2567,1226
"HEW33",3433,2441,881
"HEW34",3567,1126,1013
"HEW35",3185,1558,1024
"HEW36",3593,2818,1498
"HEW37",3396,1322,936
"HEW38",2335,2233,973
"HEW39",3782,2128,1168
"HEW4",4299,2340,1012
"HEW40",4466,1993,1356
"HEW41",3578,1014,586
"HEW42",3512,2030,1487
"HEW43",3680,2596,399
"HEW44",2212,2578,1236
"HEW45",4661,1896,834
"HEW46",1914,3036,1077
"HEW47",2078,1931,836
"HEW48",2863,1438,568
"HEW49",3146,2135,1276
"HEW5",4272,2494,1180
"HEW50",4258,2235,1546
"HEW51",4114,2975,1025
"HEW6",3033,1895,1183
"HEW7",2961,1907,970
"HEW8",2544,1291,944
"HEW9",2347,3292,1183
"SEG1",2380,1596,549
"SEG10",3380,2838,976
"SEG11",3578,1720,1500
"SEG12",2431,2394,1425
"SEG13",3179,2697,891
"SEG14",3483,2355,1517
"SEG15",2823,2248,852
"SEG16",3753,1755,1018
"SEG17",3244,2790,820
"SEG18",3212,3034,1103
"SEG19",3247,1339,1627
"SEG2",4207,1950,715
"SEG20",3795,2457,1129
"SEG21",3373,3144,761
"SEG22",3627,2761,1229
"SEG23",3014,2120,748
"SEG24",2700,2447,1581
"SEG25",2010,2200,725
"SEG26",3425,2454,788
"SEG27",3426,2307,1869
"SEG28",3140,2231,847
"SEG29",3877,1782,845
"SEG3",3395,1582,935
"SEG30",4169,3131,1204
"SEG31",2320,2616,657
"SEG32",3735,1465,1483
"SEG33",3900,1876,1304
"SEG34",2569,2704,1042
"SEG35",2858,1355,315
"SEG36",3750,2471,1289
"SEG37",2684,2217,1665
"SEG38",3261,2152,1273
"SEG39",2527,2651,1590
"SEG4",3663,2944,255
"SEG40",3166,1390,1245
"SEG41",2368,2899,1258
"SEG42",3696,1952,684
"SEG43",2590,2644,887
"SEG44",5004,1385,487
"SEG45",3334,2076,407
"SEG46",3382,2323,1063
"SEG47",3726,2041,668
"SEG48",3641,986,1344
"SEG49",4411,1780,505
"SEG5",3192,1948,1288
"SEG50",2899,1922,664
"SEG6",3566,3310,597
"SEG7",3136,1956,1182
"SEG8",3265,2624,1318
"SEG9",2575,1165,1382
"SEW1",2596,2194,1508
"SEW10",3760,1931,1037
"SEW11",3456,1787,1241
"SEW12",4048,2548,1153
"SEW13",4532,1440,1315
"SEW14",3856,1571,159
"SEW15",2458,2096,2000
"SEW16",4072,2433,966
"SEW17",4188,1712,948
"SEW18",3651,2460,1038
"SEW19",2959,1916,249
"SEW2",2976,2134,1401
"SEW20",4841,2696,249
"SEW21",3069,3186,1260
"SEW22",3353,1876,1792
"SEW23",4114,1924,1704
"SEW24",3080,2109,1926
"SEW25",2200,1812,1924
"SEW26",2520,1752,1252
"SEW27",3134,2071,990
"SEW28",4810,2274,1507
"SEW29",3068,1928,1138
"SEW3",4966,2913,1208
"SEW30",3830,1600,1935
"SEW31",4554,2283,1307
"SEW32",2265,2015,862
"SEW33",2161,2197,1465
"SEW34",3239,1431,979
"SEW35",2163,3123,1339
"SEW36",3007,2287,719
"SEW37",2793,1742,1357
"SEW38",3488,2016,383
"SEW39",2648,2508,1035
"SEW4",3588,1652,912
"SEW40",1725,1718,1151
"SEW41",4897,2037,752
"SEW42",2813,2494,1265
"SEW43",3246,2466,1021
"SEW44",2409,3081,1113
"SEW45",3152,1434,1471
"SEW46",3114,1907,1800
"SEW47",2688,1649,947
"SEW48",3594,1574,910
"SEW49",4281,1696,937
"SEW5",3335,1817,1407
"SEW50",2384,1072,1104
"SEW6",2986,1193,1135
"SEW7",3395,2370,1233
"SEW8",2746,2576,668
"SEW9",4313,1834,932
