"EP_Plotid","pH1","pH2"
"HEW13",6.12855047546327,6.13385768961161
"SEG14",6.24856889424846,6.17644882705063
"SEG15",5.90066032595933,6.11775401597843
"SEG16",6.23373199664056,6.26457299701869
"SEG17",6.17519361292943,5.96252157473937
"SEG18",6.25536457374692,6.14574277307838
"SEG19",5.92223565932363,6.08257970968261
"SEG20",6.27572457715869,6.00738110495731
"SEG21",6.03486933633685,5.90355567922816
"SEG22",6.1197110296227,6.23382727419957
"SEG23",6.02411046624184,6.20495324917138
"SEG24",6.0033135692589,6.17574885534123
"SEG25",5.93979943487793,6.19490883126855
"SEG26",6.25345585821196,6.26920250765979
"SEG1",6.25247008996084,6.07243902785704
"SEG2",5.92514654677361,6.03273782813922
"SEG3",6.06722935540602,6.12001730510965
"SEG4",6.27937513515353,6.29737673159689
"SEG5",6.28589957170188,6.27159422971308
"SEG6",6.07383304908872,6.12338330568746
"SEG7",6.11772261019796,6.11004954352975
"SEG8",6.16486631380394,5.99179627401754
"SEG9",5.91489212950692,6.18116374798119
"SEG10",5.94153122929856,6.29810930062085
"SEG11",6.2797185741365,5.99333794824779
"SEG12",5.92805353766307,6.28935056161135
"SEG13",5.93722029980272,6.16571281431243
"SEW42",5.9527943789959,6.07856670245528
"SEW43",5.95636513382196,6.01879393113777
"SEW44",6.03517916165292,6.11324594272301
"SEW45",5.99573032092303,6.08397796908393
"SEW46",6.14140814105049,6.21205628067255
"SEW47",5.99957232978195,6.07559891166165
"SEW48",6.20527551351115,6.26814728137106
"SEW49",5.94721076441929,6.12371604060754
"SEW50",6.09183940747753,6.25513037107885
"SEW25",6.15388987716287,5.9931043070741
"SEW26",5.97532035829499,6.228612288367
"SEW27",6.22705132607371,5.93434197716415
"SEW28",6.0358046178706,6.0172337946482
"SEW29",6.09316797070205,6.16723338393494
"SEW30",6.01715130843222,6.20942675266415
"SEW31",6.1880722454749,6.10240310784429
"SEW32",6.12078234944493,5.93355893138796
"SEW33",6.19065752271563,5.93625641549006
"SEW34",6.18943512830883,6.21385994022712
"SEW35",6.02146167736501,6.22412098031491
"SEW36",6.06731943553314,6.05005329232663
"SEW37",5.99349179090932,5.9113257965073
"SEW38",6.00193921374157,6.10161153702065
"SEW39",6.29031129200011,6.10939691923559
"SEW40",6.24434528015554,6.15195275209844
"SEW41",6.20440323594958,5.9176026282832
"SEW21",6.27095099780708,6.17383511085063
"SEW22",6.16589819071814,6.02644796436653
"SEW23",5.99575223773718,6.01583539070562
"SEW24",6.12814327301458,5.94740265170112
"HEW51",5.95792992636561,5.91002450715751
"SEW1",5.90357457250357,6.11438652575016
"SEW2",6.28285698285326,6.0373866442591
"SEW3",5.97411577515304,6.13922323128209
