"EP_Plotid","Year","Species","TreesPerHa"
"HEW13",2015,"Genus1_epithet1",792
"SEG14",2015,"Genus1_epithet1",305
"SEG15",2015,"Genus1_epithet1",194
"SEG16",2015,"Genus1_epithet1",201
"SEG17",2015,"Genus1_epithet1",252
"SEG18",2015,"Genus1_epithet1",666
"SEG19",2015,"Genus1_epithet1",922
"SEG20",2015,"Genus1_epithet1",339
"SEG21",2015,"Genus1_epithet1",592
"SEG22",2015,"Genus1_epithet1",107
"SEG23",2015,"Genus1_epithet1",621
"SEG24",2015,"Genus1_epithet1",485
"SEG25",2015,"Genus1_epithet1",321
"SEG26",2015,"Genus1_epithet1",208
"SEG1",2015,"Genus1_epithet1",896
"SEG2",2015,"Genus1_epithet1",814
"SEG3",2015,"Genus1_epithet1",177
"SEG4",2015,"Genus1_epithet1",877
"SEG5",2015,"Genus1_epithet1",103
"SEG6",2015,"Genus1_epithet1",12
"SEG7",2015,"Genus1_epithet1",578
"SEG8",2015,"Genus1_epithet1",193
"SEG9",2015,"Genus1_epithet1",500
"SEG10",2015,"Genus1_epithet1",77
"SEG11",2015,"Genus1_epithet1",165
"SEG12",2015,"Genus1_epithet1",942
"SEG13",2015,"Genus1_epithet1",337
"SEW42",2015,"Genus1_epithet1",378
"SEW43",2015,"Genus1_epithet1",924
"SEW44",2015,"Genus1_epithet1",549
"SEW45",2015,"Genus1_epithet1",15
"SEW46",2015,"Genus1_epithet1",59
"SEW47",2015,"Genus1_epithet1",33
"SEW48",2015,"Genus1_epithet1",333
"SEW49",2015,"Genus1_epithet1",947
"SEW50",2015,"Genus1_epithet1",550
"SEW25",2015,"Genus1_epithet1",141
"SEW26",2015,"Genus1_epithet1",275
"SEW27",2015,"Genus1_epithet1",814
"SEW28",2015,"Genus1_epithet1",951
"SEW29",2015,"Genus1_epithet1",937
"SEW30",2015,"Genus1_epithet1",124
"SEW31",2015,"Genus1_epithet1",869
"SEW32",2015,"Genus1_epithet1",150
"SEW33",2015,"Genus1_epithet1",222
"SEW34",2015,"Genus1_epithet1",366
"SEW35",2015,"Genus1_epithet1",322
"SEW36",2015,"Genus1_epithet1",417
"SEW37",2015,"Genus1_epithet1",95
"SEW38",2015,"Genus1_epithet1",521
"SEW39",2015,"Genus1_epithet1",608
"SEW40",2015,"Genus1_epithet1",14
"SEW41",2015,"Genus1_epithet1",686
"SEW21",2015,"Genus1_epithet1",248
"SEW22",2015,"Genus1_epithet1",467
"SEW23",2015,"Genus1_epithet1",591
"SEW24",2015,"Genus1_epithet1",637
"HEW51",2015,"Genus1_epithet1",405
"SEW1",2015,"Genus1_epithet1",48
"SEW2",2015,"Genus1_epithet1",345
"SEW3",2015,"Genus1_epithet1",983
"SEW4",2015,"Genus1_epithet1",857
"SEW5",2015,"Genus1_epithet1",26
"SEW6",2015,"Genus1_epithet1",774
"SEW7",2015,"Genus1_epithet1",398
"SEW8",2015,"Genus1_epithet1",69
"SEW9",2015,"Genus1_epithet1",986
"SEW10",2015,"Genus1_epithet1",826
"SEW11",2015,"Genus1_epithet1",843
"SEW12",2015,"Genus1_epithet1",848
"SEW13",2015,"Genus1_epithet1",909
"SEW14",2015,"Genus1_epithet1",106
"SEW15",2015,"Genus1_epithet1",105
"SEW16",2015,"Genus1_epithet1",862
"SEW17",2015,"Genus1_epithet1",838
"SEW18",2015,"Genus1_epithet1",173
"SEW19",2015,"Genus1_epithet1",365
"SEW20",2015,"Genus1_epithet1",919
"HEW50",2015,"Genus1_epithet1",375
"HEW1",2015,"Genus1_epithet1",68
"HEW2",2015,"Genus1_epithet1",988
"HEW3",2015,"Genus1_epithet1",186
"HEW4",2015,"Genus1_epithet1",207
"HEW5",2015,"Genus1_epithet1",680
"HEW6",2015,"Genus1_epithet1",787
"HEW7",2015,"Genus1_epithet1",33
"HEW8",2015,"Genus1_epithet1",465
"HEW9",2015,"Genus1_epithet1",367
"HEW10",2015,"Genus1_epithet1",78
"HEW11",2015,"Genus1_epithet1",570
"HEW12",2015,"Genus1_epithet1",904
"HEW14",2015,"Genus1_epithet1",477
"HEW15",2015,"Genus1_epithet1",483
"HEW16",2015,"Genus1_epithet1",118
"HEW17",2015,"Genus1_epithet1",531
"HEW18",2015,"Genus1_epithet1",458
"HEW19",2015,"Genus1_epithet1",930
"HEW20",2015,"Genus1_epithet1",753
"HEW21",2015,"Genus1_epithet1",116
"HEW22",2015,"Genus1_epithet1",25
"HEW23",2015,"Genus1_epithet1",716
"HEW24",2015,"Genus1_epithet1",797
"HEW26",2015,"Genus1_epithet1",87
"HEW27",2015,"Genus1_epithet1",967
"HEW28",2015,"Genus1_epithet1",903
"HEW29",2015,"Genus1_epithet1",914
"HEW30",2015,"Genus1_epithet1",498
"HEW31",2015,"Genus1_epithet1",191
"HEW32",2015,"Genus1_epithet1",265
"HEW33",2015,"Genus1_epithet1",306
"HEW34",2015,"Genus1_epithet1",179
"HEW35",2015,"Genus1_epithet1",208
"HEW36",2015,"Genus1_epithet1",636
"HEW37",2015,"Genus1_epithet1",518
"HEW38",2015,"Genus1_epithet1",373
"HEW39",2015,"Genus1_epithet1",679
"HEW40",2015,"Genus1_epithet1",837
"HEW41",2015,"Genus1_epithet1",120
"HEW42",2015,"Genus1_epithet1",486
"HEW43",2015,"Genus1_epithet1",337
"HEW44",2015,"Genus1_epithet1",179
"HEW45",2015,"Genus1_epithet1",980
"HEW46",2015,"Genus1_epithet1",916
"HEW47",2015,"Genus1_epithet1",449
"HEW48",2015,"Genus1_epithet1",286
"HEW49",2015,"Genus1_epithet1",736
"HEW25",2015,"Genus1_epithet1",370
"SEG27",2015,"Genus1_epithet1",392
"SEG28",2015,"Genus1_epithet1",856
"SEG29",2015,"Genus1_epithet1",494
"SEG30",2015,"Genus1_epithet1",459
"SEG31",2015,"Genus1_epithet1",723
"SEG32",2015,"Genus1_epithet1",483
"SEG33",2015,"Genus1_epithet1",586
"SEG34",2015,"Genus1_epithet1",32
"SEG35",2015,"Genus1_epithet1",225
"SEG36",2015,"Genus1_epithet1",322
"SEG37",2015,"Genus1_epithet1",440
"SEG38",2015,"Genus1_epithet1",825
"SEG39",2015,"Genus1_epithet1",37
"SEG40",2015,"Genus1_epithet1",779
"SEG41",2015,"Genus1_epithet1",342
"SEG42",2015,"Genus1_epithet1",334
"SEG43",2015,"Genus1_epithet1",347
"SEG44",2015,"Genus1_epithet1",654
"SEG45",2015,"Genus1_epithet1",418
"SEG46",2015,"Genus1_epithet1",409
"AEG1",2015,"Genus1_epithet1",140
"AEG2",2015,"Genus1_epithet1",577
"AEG3",2015,"Genus1_epithet1",76
"AEG4",2015,"Genus1_epithet1",132
"AEG5",2015,"Genus1_epithet1",815
"AEG6",2015,"Genus1_epithet1",682
"AEG7",2015,"Genus1_epithet1",917
"AEG8",2015,"Genus1_epithet1",686
"AEG9",2015,"Genus1_epithet1",897
"AEG10",2015,"Genus1_epithet1",220
"AEG11",2015,"Genus1_epithet1",194
"AEG12",2015,"Genus1_epithet1",563
"AEG13",2015,"Genus1_epithet1",515
"AEG14",2015,"Genus1_epithet1",386
"AEG15",2015,"Genus1_epithet1",386
"AEG16",2015,"Genus1_epithet1",918
"AEG17",2015,"Genus1_epithet1",280
"AEG18",2015,"Genus1_epithet1",853
"AEG19",2015,"Genus1_epithet1",592
"SEG47",2015,"Genus1_epithet1",547
"SEG48",2015,"Genus1_epithet1",758
"SEG49",2015,"Genus1_epithet1",960
"SEG50",2015,"Genus1_epithet1",412
"AEG25",2015,"Genus1_epithet1",988
"AEG26",2015,"Genus1_epithet1",375
"AEG27",2015,"Genus1_epithet1",379
"AEG28",2015,"Genus1_epithet1",214
"AEG29",2015,"Genus1_epithet1",212
"AEG30",2015,"Genus1_epithet1",445
"AEG31",2015,"Genus1_epithet1",893
"AEG32",2015,"Genus1_epithet1",478
"AEG33",2015,"Genus1_epithet1",789
"AEG34",2015,"Genus1_epithet1",936
"AEG35",2015,"Genus1_epithet1",932
"AEG36",2015,"Genus1_epithet1",257
"AEG37",2015,"Genus1_epithet1",379
"AEG38",2015,"Genus1_epithet1",58
"AEG39",2015,"Genus1_epithet1",54
"AEG40",2015,"Genus1_epithet1",57
"AEG41",2015,"Genus1_epithet1",695
"AEG20",2015,"Genus1_epithet1",269
"AEG21",2015,"Genus1_epithet1",849
"AEG22",2015,"Genus1_epithet1",609
"AEG23",2015,"Genus1_epithet1",174
"AEG24",2015,"Genus1_epithet1",263
"AEG46",2015,"Genus1_epithet1",291
"AEG47",2015,"Genus1_epithet1",215
"AEG48",2015,"Genus1_epithet1",615
"AEG49",2015,"Genus1_epithet1",418
"AEG50",2015,"Genus1_epithet1",951
"AEW1",2015,"Genus1_epithet1",766
"AEW2",2015,"Genus1_epithet1",749
"AEW3",2015,"Genus1_epithet1",788
"AEW4",2015,"Genus1_epithet1",576
"AEW5",2015,"Genus1_epithet1",901
"AEW6",2015,"Genus1_epithet1",755
"AEW7",2015,"Genus1_epithet1",116
"AEW8",2015,"Genus1_epithet1",374
"AEW9",2015,"Genus1_epithet1",666
"AEW10",2015,"Genus1_epithet1",573
"AEG42",2015,"Genus1_epithet1",231
"AEG43",2015,"Genus1_epithet1",861
"AEG44",2015,"Genus1_epithet1",525
"AEG45",2015,"Genus1_epithet1",199
"AEW15",2015,"Genus1_epithet1",860
"AEW16",2015,"Genus1_epithet1",686
"AEW17",2015,"Genus1_epithet1",167
"AEW18",2015,"Genus1_epithet1",125
"AEW19",2015,"Genus1_epithet1",218
"AEW20",2015,"Genus1_epithet1",248
"AEW21",2015,"Genus1_epithet1",862
"AEW22",2015,"Genus1_epithet1",348
"AEW23",2015,"Genus1_epithet1",763
"AEW24",2015,"Genus1_epithet1",6
"AEW25",2015,"Genus1_epithet1",963
"AEW26",2015,"Genus1_epithet1",224
"AEW27",2015,"Genus1_epithet1",972
"AEW28",2015,"Genus1_epithet1",955
"AEW29",2015,"Genus1_epithet1",661
"AEW30",2015,"Genus1_epithet1",823
"AEW31",2015,"Genus1_epithet1",754
"AEW11",2015,"Genus1_epithet1",484
"AEW12",2015,"Genus1_epithet1",532
"AEW13",2015,"Genus1_epithet1",843
"AEW14",2015,"Genus1_epithet1",453
"AEW37",2015,"Genus1_epithet1",294
"AEW38",2015,"Genus1_epithet1",15
"AEW39",2015,"Genus1_epithet1",443
"AEW40",2015,"Genus1_epithet1",764
"AEW41",2015,"Genus1_epithet1",798
"AEW42",2015,"Genus1_epithet1",533
"AEW43",2015,"Genus1_epithet1",742
"AEW44",2015,"Genus1_epithet1",71
"AEW45",2015,"Genus1_epithet1",934
"AEW46",2015,"Genus1_epithet1",576
"AEW47",2015,"Genus1_epithet1",264
"AEW48",2015,"Genus1_epithet1",420
"AEW49",2015,"Genus1_epithet1",997
"AEW50",2015,"Genus1_epithet1",177
"HEG1",2015,"Genus1_epithet1",689
"HEG2",2015,"Genus1_epithet1",573
"HEG3",2015,"Genus1_epithet1",766
"AEW32",2015,"Genus1_epithet1",292
"AEW33",2015,"Genus1_epithet1",549
"AEW34",2015,"Genus1_epithet1",560
"AEW35",2015,"Genus1_epithet1",798
"AEW36",2015,"Genus1_epithet1",165
"HEG9",2015,"Genus1_epithet1",67
"HEG10",2015,"Genus1_epithet1",485
"HEG11",2015,"Genus1_epithet1",246
"HEG12",2015,"Genus1_epithet1",134
"HEG13",2015,"Genus1_epithet1",486
"HEG14",2015,"Genus1_epithet1",232
"HEG15",2015,"Genus1_epithet1",697
"HEG16",2015,"Genus1_epithet1",447
"HEG17",2015,"Genus1_epithet1",11
"HEG18",2015,"Genus1_epithet1",995
"HEG19",2015,"Genus1_epithet1",169
"HEG20",2015,"Genus1_epithet1",657
"HEG21",2015,"Genus1_epithet1",949
"HEG22",2015,"Genus1_epithet1",513
"HEG23",2015,"Genus1_epithet1",876
"HEG24",2015,"Genus1_epithet1",845
"HEG25",2015,"Genus1_epithet1",962
"HEG4",2015,"Genus1_epithet1",485
"HEG5",2015,"Genus1_epithet1",700
"HEG6",2015,"Genus1_epithet1",590
"HEG7",2015,"Genus1_epithet1",212
"HEG8",2015,"Genus1_epithet1",61
"HEG26",2015,"Genus1_epithet1",267
"HEG27",2015,"Genus1_epithet1",902
"HEG28",2015,"Genus1_epithet1",42
"HEG29",2015,"Genus1_epithet1",449
"HEG30",2015,"Genus1_epithet1",625
"HEG31",2015,"Genus1_epithet1",312
"HEG32",2015,"Genus1_epithet1",989
"HEG33",2015,"Genus1_epithet1",808
"HEG34",2015,"Genus1_epithet1",946
"HEG35",2015,"Genus1_epithet1",406
"HEG36",2015,"Genus1_epithet1",54
"HEG37",2015,"Genus1_epithet1",833
"HEG38",2015,"Genus1_epithet1",756
"HEG39",2015,"Genus1_epithet1",86
"HEG40",2015,"Genus1_epithet1",783
"HEG41",2015,"Genus1_epithet1",241
"HEG42",2015,"Genus1_epithet1",763
"HEG43",2015,"Genus1_epithet1",161
"HEG44",2015,"Genus1_epithet1",900
"HEG45",2015,"Genus1_epithet1",742
"HEG46",2015,"Genus1_epithet1",413
"HEG47",2015,"Genus1_epithet1",682
"HEG48",2015,"Genus1_epithet1",42
"HEG49",2015,"Genus1_epithet1",726
"HEG50",2015,"Genus1_epithet1",218
"HEW13",2015,"Genus1_epithet2",323
"SEG14",2015,"Genus1_epithet2",43
"SEG15",2015,"Genus1_epithet2",370
"SEG16",2015,"Genus1_epithet2",801
"SEG17",2015,"Genus1_epithet2",148
"SEG18",2015,"Genus1_epithet2",41
"SEG19",2015,"Genus1_epithet2",276
"SEG20",2015,"Genus1_epithet2",794
"SEG21",2015,"Genus1_epithet2",353
"SEG22",2015,"Genus1_epithet2",915
"SEG23",2015,"Genus1_epithet2",729
"SEG24",2015,"Genus1_epithet2",14
"SEG25",2015,"Genus1_epithet2",355
"SEG26",2015,"Genus1_epithet2",602
"SEG1",2015,"Genus1_epithet2",559
"SEG2",2015,"Genus1_epithet2",907
"SEG3",2015,"Genus1_epithet2",718
"SEG4",2015,"Genus1_epithet2",282
"SEG5",2015,"Genus1_epithet2",917
"SEG6",2015,"Genus1_epithet2",972
"SEG7",2015,"Genus1_epithet2",984
"SEG8",2015,"Genus1_epithet2",884
"SEG9",2015,"Genus1_epithet2",157
"SEG10",2015,"Genus1_epithet2",454
"SEG11",2015,"Genus1_epithet2",418
"SEG12",2015,"Genus1_epithet2",6
"SEG13",2015,"Genus1_epithet2",743
"SEW42",2015,"Genus1_epithet2",380
"SEW43",2015,"Genus1_epithet2",545
"SEW44",2015,"Genus1_epithet2",323
"SEW45",2015,"Genus1_epithet2",213
"SEW46",2015,"Genus1_epithet2",769
"SEW47",2015,"Genus1_epithet2",938
"SEW48",2015,"Genus1_epithet2",952
"SEW49",2015,"Genus1_epithet2",464
"SEW50",2015,"Genus1_epithet2",388
"SEW25",2015,"Genus1_epithet2",21
"SEW26",2015,"Genus1_epithet2",104
"SEW27",2015,"Genus1_epithet2",544
"SEW28",2015,"Genus1_epithet2",886
"SEW29",2015,"Genus1_epithet2",114
"SEW30",2015,"Genus1_epithet2",937
"SEW31",2015,"Genus1_epithet2",950
"SEW32",2015,"Genus1_epithet2",150
