"EP_Plotid","nspec","nobs"
"HEW13",297,138
"SEG14",232,148
"SEG15",135,185
"SEG16",489,233
"SEG17",264,162
"SEG18",449,185
"SEG19",29,177
"SEG20",451,203
"SEG21",450,190
"SEG22",413,232
"SEG23",94,150
"SEG24",48,156
"SEG25",33,140
"SEG26",201,230
"SEG1",109,159
"SEG2",104,172
"SEG3",321,231
"SEG4",297,206
"SEG5",443,247
"SEG6",274,243
"SEG7",445,127
"SEG8",366,176
"SEG9",140,200
"SEG10",45,226
"SEG11",326,117
"SEG12",70,183
"SEG13",131,113
"SEW42",149,151
"SEW43",382,235
"SEW44",406,129
"SEW45",130,123
"SEW46",331,118
"SEW47",185,138
"SEW48",68,188
"SEW49",329,204
"SEW50",350,220
"SEW25",275,149
"SEW26",438,248
"SEW27",221,229
"SEW28",354,198
"SEW29",48,239
"SEW30",479,146
"SEW31",100,208
"SEW32",295,221
"SEW33",77,125
"SEW34",366,154
"SEW35",7,121
"SEW36",473,165
"SEW37",322,226
"SEW38",226,129
"SEW39",210,103
"SEW40",375,199
"SEW41",194,215
"SEW21",468,221
"SEW22",251,249
"SEW23",20,187
"SEW24",162,185
"HEW51",394,248
"SEW1",500,127
"SEW2",34,191
"SEW3",60,114
"SEW4",365,176
"SEW5",336,218
"SEW6",117,241
"SEW7",260,140
"SEW8",278,131
"SEW9",145,138
"SEW10",276,242
"SEW11",200,248
"SEW12",185,237
"SEW13",386,173
"SEW14",58,195
"SEW15",390,203
"SEW16",411,107
"SEW17",197,139
"SEW18",110,211
"SEW19",187,165
"SEW20",290,199
"HEW50",286,115
"HEW1",461,164
"HEW2",230,119
"HEW3",100,120
"HEW4",76,109
"HEW5",172,107
"HEW6",77,157
"HEW7",102,134
"HEW8",184,218
"HEW9",35,134
"HEW10",180,197
"HEW11",464,227
"HEW12",280,139
"HEW14",313,196
"HEW15",33,124
"HEW16",169,130
"HEW17",12,177
"HEW18",196,196
"HEW19",348,207
"HEW20",23,120
"HEW21",329,211
"HEW22",372,139
"HEW23",395,205
"HEW24",389,177
"HEW26",274,123
"HEW27",79,225
"HEW28",245,210
"HEW29",283,243
"HEW30",48,179
"HEW31",322,164
"HEW32",465,131
"HEW33",372,230
"HEW34",12,141
"HEW35",136,229
"HEW36",228,130
