"EP_Plotid","spec1","spec2","spec3","spec4","spec5","spec6","spec7","spec8","spec9","spec10"
"HEW13",5,10,8,1,6,10,2,4,20,10
"SEG14",0,3,2,3,13,6,1,7,3,4
"SEG15",10,2,9,3,10,9,7,0,3,0
"SEG16",3,1,0,6,0,0,8,2,3,7
"SEG17",8,9,7,3,81,6,10,8,6,2
"SEG18",9,69,9,5,2,0,0,4,2,6
"SEG19",5,0,8,4,7,4,1,4,0,5
"SEG20",0,7,2,2,62,0,0,10,0,0
"SEG21",92,23,0,1,1,5,1,5,0,7
"SEG22",0,21,4,6,3,7,3,10,7,2
"SEG23",8,35,0,8,5,4,4,9,59,8
"SEG24",8,4,10,5,2,7,10,1,1,1
"SEG25",6,5,3,9,2,4,4,8,0,6
"SEG26",1,7,4,4,7,3,10,0,5,5
"SEG1",8,1,5,4,4,3,10,2,2,30
"SEG2",3,8,7,8,5,3,8,3,2,1
"SEG3",3,9,1,1,0,9,1,9,5,34
"SEG4",91,3,0,7,0,4,9,6,8,12
"SEG5",9,10,9,8,10,5,3,5,99,7
"SEG6",10,1,8,7,8,0,2,97,8,1
"SEG7",0,1,5,7,5,9,8,8,1,5
"SEG8",5,1,8,7,0,1,3,8,2,89
"SEG9",5,4,6,5,5,9,2,9,5,8
"SEG10",10,5,37,2,3,2,5,1,7,1
"SEG11",26,10,5,7,4,8,9,2,0,93
"SEG12",6,7,7,1,3,9,2,4,3,8
"SEG13",7,2,1,84,15,9,4,70,9,4
"SEW42",48,78,3,6,4,0,0,0,7,4
"SEW43",0,2,0,4,8,2,2,8,4,64
"SEW44",6,2,5,5,51,4,1,0,9,2
"SEW45",1,1,6,0,1,3,2,0,7,8
"SEW46",4,66,0,3,7,6,8,0,1,6
"SEW47",5,1,6,4,43,6,7,0,2,7
"SEW48",10,1,0,9,1,10,5,1,8,8
"SEW49",4,8,10,4,39,0,1,2,9,2
"SEW50",8,16,1,3,6,4,10,0,6,5
"SEW25",7,7,51,3,9,10,2,70,4,3
"SEW26",10,7,73,1,1,7,7,0,4,0
"SEW27",6,8,2,6,3,4,3,53,10,4
"SEW28",30,7,61,8,4,7,9,5,1,55
"SEW29",63,4,2,18,6,45,9,14,5,10
"SEW30",8,9,5,9,2,8,8,9,6,9
"SEW31",4,9,62,8,6,3,5,2,3,95
"SEW32",6,5,5,0,0,1,4,5,7,5
"SEW33",0,5,7,2,17,6,0,3,6,7
"SEW34",7,88,5,4,10,7,6,10,10,0
"SEW35",3,0,10,9,4,0,8,2,5,19
"SEW36",0,3,0,7,10,3,2,3,9,2
"SEW37",2,4,7,5,21,77,4,1,0,7
"SEW38",78,9,5,8,10,8,0,6,7,4
"SEW39",2,9,2,7,0,6,0,7,5,10
"SEW40",51,3,6,2,7,10,1,7,8,0
"SEW41",7,0,1,8,9,3,6,2,3,0
"SEW21",9,3,2,3,7,4,1,3,2,2
"SEW22",1,6,7,5,64,4,7,5,5,8
"SEW23",0,2,10,2,0,0,1,3,1,2
"SEW24",3,7,0,8,9,1,8,66,10,9
"HEW51",7,6,3,10,1,9,9,4,10,7
"SEW1",5,0,0,8,8,4,2,0,0,3
"SEW2",4,8,10,5,10,6,5,5,4,10
"SEW3",10,3,3,1,7,10,3,0,8,2
"SEW4",7,6,0,1,10,8,1,3,10,7
"SEW5",4,67,0,10,7,6,8,40,7,9
"SEW6",4,3,57,6,10,1,7,4,8,86
"SEW7",9,4,2,4,10,14,0,9,10,5
"SEW8",5,5,8,4,2,1,22,4,8,36
"SEW9",7,10,3,8,8,4,10,5,6,9
"SEW10",9,14,8,7,41,4,5,2,7,6
"SEW11",9,5,4,4,4,2,7,7,9,3
"SEW12",14,2,7,9,6,1,6,73,1,7
"SEW13",5,8,14,3,7,6,7,3,3,7
"SEW14",9,5,7,4,1,6,6,5,0,4
"SEW15",31,10,4,3,10,6,4,6,0,6
"SEW16",0,26,3,5,6,1,7,6,8,8
"SEW17",8,3,39,10,7,32,9,5,4,9
"SEW18",4,2,6,0,7,10,7,2,9,9
"SEW19",2,0,99,8,5,7,8,1,2,6
"SEW20",8,2,0,3,65,8,3,10,2,6
"HEW50",6,66,32,4,9,27,7,10,5,2
"HEW1",4,9,36,6,9,10,6,82,3,6
"HEW2",10,0,10,8,8,9,9,2,8,2
"HEW3",0,8,4,3,3,6,2,2,33,6
"HEW4",5,4,9,8,9,78,2,1,9,0
"HEW5",5,8,6,6,6,10,3,7,3,1
"HEW6",32,4,0,0,9,5,3,7,8,10
"HEW7",6,1,5,2,7,7,0,6,9,6
"HEW8",1,0,5,4,7,1,1,8,0,10
"HEW9",3,12,6,9,9,6,4,4,10,7
"HEW10",39,2,3,1,3,0,6,4,1,3
"HEW11",6,0,7,3,5,7,10,2,4,3
"HEW12",4,4,2,9,6,8,2,9,2,9
"HEW14",4,8,1,7,3,4,1,2,5,2
"HEW15",8,81,8,0,3,0,0,6,6,0
"HEW16",5,8,7,5,2,3,10,5,5,5
